Loaded processed data from: /pool1/home/ysxin/E3nnVB/VB/processed/train_data.pt
Using device: cuda
CUDA device: NVIDIA GeForce RTX 4080
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
C4H6 tensor([0])
/pool1/home/ysxin/miniconda3/envs/newe3nn/lib/python3.10/site-packages/torch/utils/data/dataloader.py:617: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 1, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  warnings.warn(
Epoch 179 | Loss(MSE)=0.007381 | MAE=0.036393 | RMSE=0.085912 | LR=9.80e-04
Epoch 180 | Loss(MSE)=0.007383 | MAE=0.036399 | RMSE=0.085922 | LR=9.80e-04
Epoch 181 | Loss(MSE)=0.007384 | MAE=0.036508 | RMSE=0.085931 | LR=9.80e-04
Epoch 182 | Loss(MSE)=0.007389 | MAE=0.036478 | RMSE=0.085957 | LR=9.80e-04
Epoch 183 | Loss(MSE)=0.007392 | MAE=0.036568 | RMSE=0.085977 | LR=9.80e-04
Epoch 184 | Loss(MSE)=0.007394 | MAE=0.036585 | RMSE=0.085990 | LR=9.79e-04
Epoch 185 | Loss(MSE)=0.007379 | MAE=0.036430 | RMSE=0.085901 | LR=9.79e-04
Epoch 186 | Loss(MSE)=0.007379 | MAE=0.036408 | RMSE=0.085901 | LR=9.79e-04
Epoch 187 | Loss(MSE)=0.007390 | MAE=0.036626 | RMSE=0.085963 | LR=9.79e-04
Epoch 188 | Loss(MSE)=0.007386 | MAE=0.036416 | RMSE=0.085943 | LR=9.78e-04
Epoch 189 | Loss(MSE)=0.007396 | MAE=0.036471 | RMSE=0.085999 | LR=9.78e-04
Epoch 190 | Loss(MSE)=0.007377 | MAE=0.036469 | RMSE=0.085888 | LR=9.78e-04
Epoch 191 | Loss(MSE)=0.007381 | MAE=0.036505 | RMSE=0.085913 | LR=9.78e-04
Epoch 192 | Loss(MSE)=0.007390 | MAE=0.036432 | RMSE=0.085962 | LR=9.77e-04
Epoch 193 | Loss(MSE)=0.007388 | MAE=0.036625 | RMSE=0.085956 | LR=9.77e-04
Epoch 194 | Loss(MSE)=0.007393 | MAE=0.036313 | RMSE=0.085984 | LR=9.77e-04
Epoch 195 | Loss(MSE)=0.007383 | MAE=0.036519 | RMSE=0.085922 | LR=9.77e-04
Epoch 196 | Loss(MSE)=0.007380 | MAE=0.036492 | RMSE=0.085907 | LR=9.77e-04
Epoch 197 | Loss(MSE)=0.007387 | MAE=0.036468 | RMSE=0.085950 | LR=9.76e-04
Epoch 198 | Loss(MSE)=0.007388 | MAE=0.036460 | RMSE=0.085955 | LR=9.76e-04
Epoch 199 | Loss(MSE)=0.007388 | MAE=0.036457 | RMSE=0.085954 | LR=9.76e-04
Epoch 200 | Loss(MSE)=0.007373 | MAE=0.036373 | RMSE=0.085864 | LR=9.76e-04
Epoch 201 | Loss(MSE)=0.007398 | MAE=0.036661 | RMSE=0.086009 | LR=9.75e-04
Epoch 202 | Loss(MSE)=0.007374 | MAE=0.036501 | RMSE=0.085873 | LR=9.75e-04
Epoch 203 | Loss(MSE)=0.007388 | MAE=0.036477 | RMSE=0.085955 | LR=9.75e-04
Epoch 204 | Loss(MSE)=0.007396 | MAE=0.036472 | RMSE=0.085998 | LR=9.75e-04
Epoch 205 | Loss(MSE)=0.007379 | MAE=0.036579 | RMSE=0.085899 | LR=9.74e-04
Epoch 206 | Loss(MSE)=0.007377 | MAE=0.036422 | RMSE=0.085888 | LR=9.74e-04
Epoch 207 | Loss(MSE)=0.007390 | MAE=0.036477 | RMSE=0.085967 | LR=9.74e-04
Epoch 208 | Loss(MSE)=0.007375 | MAE=0.036638 | RMSE=0.085879 | LR=9.74e-04
Epoch 209 | Loss(MSE)=0.007375 | MAE=0.036318 | RMSE=0.085876 | LR=9.73e-04
Epoch 210 | Loss(MSE)=0.007378 | MAE=0.036324 | RMSE=0.085896 | LR=9.73e-04
Epoch 211 | Loss(MSE)=0.007379 | MAE=0.036530 | RMSE=0.085904 | LR=9.73e-04
Epoch 212 | Loss(MSE)=0.007397 | MAE=0.036400 | RMSE=0.086008 | LR=9.73e-04
Epoch 213 | Loss(MSE)=0.007387 | MAE=0.036463 | RMSE=0.085947 | LR=9.72e-04
Epoch 214 | Loss(MSE)=0.007377 | MAE=0.036538 | RMSE=0.085887 | LR=9.72e-04
Epoch 215 | Loss(MSE)=0.007367 | MAE=0.036387 | RMSE=0.085833 | LR=9.72e-04
Epoch 216 | Loss(MSE)=0.007384 | MAE=0.036436 | RMSE=0.085931 | LR=9.72e-04
Epoch 217 | Loss(MSE)=0.007381 | MAE=0.036442 | RMSE=0.085915 | LR=9.71e-04
